HashFunction,Average,Count,Minimum,Maximum,percentile_Average_0,percentile_Average_1,percentile_Average_25,percentile_Average_50,percentile_Average_75,percentile_Average_99,percentile_Average_100
dh,62927,522,3900.0,300152.0,3900,4462,15385,41538,70266,300100,300152
eg,3,307,0.0,47.0,0,0,0,0,0,19,47
ip,8794,720,203.0,33085.0,203,261,3644,8672,12832,25853,33085
vp,145,99,31.0,651.0,62,62,94,124,156,651,651
ir,31,9728,0.0,1218.0,0,9,16,23,33,164,830
knn,229,480,162.0,480.0,162,171,205,219,236,399,480
alu,9036,720,4325.0,61026.0,4325,5095,7499,8131,9053,25598,61026
ms,150,446,11.0,3121.0,12,13,28,42,84,1175,3121
gd,152,155,13.0,1945.0,21,21,39,118,187,417,417
dv,505,1252,0.0,35326.0,0,0,421,438,465,1469,35326
